Account,Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date,Quantity,T Price,C Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,,Exchange Symbol
Interactive Brokers,Trades,Data,Order,Stocks,SGD,A17U,11/04/2023,100,2.84,2.84,-284,-2.7,286.7,0,0,O,,A17U SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,A17U,15/06/2023,100,2.74,2.76,-274,-2.7,276.7,0,2,O,,A17U SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,A17U,07/02/2024,200,2.8,2.81,-560,-2.725,562.725,0,2,O,,A17U SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,D05,28/02/2023,100,34.41,34.17,-3441,-2.973024,3443.973024,0,-24,O,,D05 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,D05,11/05/2023,100,30.75,30.66,-3075,-2.7,3077.7,0,-9,O,,D05 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,G13,14/05/2023,100,1.09,1.03,-109,-2.7,111.7,0,-6,O,,G13 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,G13,19/06/2023,100,0.96,0.955,-96,-2.7,98.7,0,-0.5,O,,G13 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,G13,13/08/2023,200,0.945,0.945,-189,-2.7,191.7,0,0,O,,G13 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,S68,11/05/2023,100,9.45,9.46,-945,-2.7,947.7,0,1,O,,S68 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,S68,06/07/2023,100,9.32,9.28,-932,-2.7,934.7,0,-4,O,,S68 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,S68,21/08/2023,200,9.4,9.44,-1880,-2.7,1882.7,0,8,O,,S68 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,S68,05/02/2024,100,9.4,9.35,-940,-2.725,942.725,0,-5,O,,S68 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,Z74,28/02/2023,500,2.39,2.37,-1195,-2.7,1197.7,0,-10,O,,Z74 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,Z74,16/11/2023,500,2.33,2.33,-1165,-2.7,1167.7,0,0,O,,Z74 SG
Interactive Brokers,Trades,Data,Order,Stocks,SGD,Z74,05/02/2024,200,2.36,2.34,-472,-2.725,474.725,0,-4,O,,Z74 SG
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,04/01/2024,2.6583,75.235447,74.66,-199.9983888,-1.09,201.0883888,0,-1.5297,O,RI,BABA
Interactive Brokers,Trades,Data,Order,Stocks,USD,BABA,11/01/2024,2.7677,72.26193,72.38,-199.9993437,-1.09,201.0893437,0,0.3268,O,RI,BABA
